group,group_skus.0,options.0,options.1,name,fields.description,sku,mpn,upc,pricing_item.price.amount,pricing_item.msrp.amount,fields.package_height.value,fields.package_width.value,fields.package_length.value,fields.weight.value,fields.package_weight.value,fields.abn_size,fields.target_color,fields.garment_length,fields.closure_type,fields.size_grouping,fields.pattern,fields.pattern_group,fields.color,fields.size,fields.brand,fields.material,fields.bullet_1,fields.bullet_2,fields.bullet_3,fields.bullet_4,fields.bullet_5,fields.material_percentage,fields.material_percentage_2,fields.material_2,fields.material_percentage_3,fields.material_3,fields.fabric_weight_type,fields.garment_fit,fields.garment_collar_type,fields.garment_construction_details,fields.garment_hem_type,fields.garment_neckline_type,fields.garment_sleeve_length_type,fields.garment_torso_length,fields.gender,fields.textile_dry_recommendation,fields.textile_wash_recommendation,fields.subtype,fields.garment_inseam_measurement,fields.garment_leg_length_type,fields.bullet_6,fields.garment_rise,fields.garment_waist_closure,fields.upf_rating,fields.garment_protection_and_safety,fields.targeted_audience,fields.garment_closure_type_tops,fields.apparel_material_1,fields.apparel_material_1_percentage,fields.apparel_material_2,fields.apparel_material_2_percentage,fields.garment_back_type,fields.garment_sleeve_style,fields.fabric_treatment,fields.garment_cuff_type,fields.package_quantity,fields.top_style,fields.bullet_7,fields.bullet_8,fields.sport_age_category,fields.sport_used_for,fields.license_personality,fields.license_property,fields.textile_construction,fields.apparel_material_3,fields.apparel_material_3_percentage,fields.garment_waist_closure_type,images.default.main.url,images.default.1.alternate.url,images.default.2.alternate.url,images.default.3.alternate.url,images.default.4.alternate.url,images.default.5.alternate.url,images.default.6.alternate.url
product,,size,color,Vapor Apparel Unisex 200 Mile Short Sleeve T-Shirt,"This ultra-soft unisex shirt is a lightweight layer for any season. Our comfortable recycled fabric is crafted from a blend of recycled materials, including post-consumer plastics such as water bottles. Our commitment to using recycled materials aligns with our goal to reduce environmental waste. Our 200-mile tee is a tri-blend that's made from start to finish within a 200-mile radius. This shirt helps us reduce our carbon footprint and support U.S. manufacturing.",variant-8,,,,,,,,,,,,,Pull-On,Adult General Sizing,Solid,Solid,,,Vapor Apparel,Polyester,Great on its own or as a base layer.,Made with 5 recycled plastic water bottles,Set-in sleeve for natural shape,"Fits true-to-size, unisex fit","50% Repreve Polyester, 37% Modal, 13% Cotton",50,,Modal,13,Cotton,Year Round Fabric Construction,Regular Fit,No Collar,Double-Stitched Seam,Plain Hem,Round,Short Sleeve,Below Waist,Gender Neutral,Tumble Dry,Machine Wash,Athletic T-Shirts,,,,,,,,Adult (18 Years and Up),Pull-On,Polyester,50,Modal,37,,,UV Protection Treatment,,,,,,,,,,Flat,Cotton,13,,https://images.acenda-static.com/vaporapparel/product/original/7/7cf50ac589c49fe2b901bf389272cfc1.jpg,,,,,,
variant,variant-8,,,"Vapor Apparel Unisex 200 Mile Short Sleeve T-Shirt, CharBlack, Small","This ultra-soft unisex shirt is a lightweight layer for any season. Our comfortable recycled fabric is crafted from a blend of recycled materials, including post-consumer plastics such as water bottles. Our commitment to using recycled materials aligns with our goal to reduce environmental waste. Our 200-mile tee is a tri-blend that's made from start to finish within a 200-mile radius. This shirt helps us reduce our carbon footprint and support U.S. manufacturing.",VA-TP10012CKBS,VA-TP10012CKBS,196059257158,30,30,1,8,12,0.15,0.25,Small,Black,,Pull-On,Adult General Sizing,Solid,Solid,CharBlack,Small,Vapor Apparel,Polyester,Great on its own or as a base layer.,Made with 5 recycled plastic water bottles,Set-in sleeve for natural shape,"Fits true-to-size, unisex fit","50% Repreve Polyester, 37% Modal, 13% Cotton",50,,Modal,13,Cotton,Year Round Fabric Construction,Regular Fit,No Collar,Double-Stitched Seam,Plain Hem,Round,Short Sleeve,Below Waist,Gender Neutral,Tumble Dry,Machine Wash,Athletic T-Shirts,,,,,,,,Adult (18 Years and Up),Pull-On,Polyester,50,Modal,37,,,UV Protection Treatment,,,,,,,,,,Flat,Cotton,13,,https://images.acenda-static.com/vaporapparel/product/original/7/7cf50ac589c49fe2b901bf389272cfc1.jpg, https://images.acenda-static.com/vaporapparel/product/original/5/579ac4a51fac0c38af79da4a68d6e77f.jpg, https://images.acenda-static.com/vaporapparel/product/original/2/26ed787cb682f7f6894238ac0a91c0f2.jpg,,,,
variant,variant-8,,,"Vapor Apparel Unisex 200 Mile Short Sleeve T-Shirt, Clay, Small","This ultra-soft unisex shirt is a lightweight layer for any season. Our comfortable recycled fabric is crafted from a blend of recycled materials, including post-consumer plastics such as water bottles. Our commitment to using recycled materials aligns with our goal to reduce environmental waste. Our 200-mile tee is a tri-blend that's made from start to finish within a 200-mile radius. This shirt helps us reduce our carbon footprint and support U.S. manufacturing.",VA-TP10012CLAS,VA-TP10012CLAS,196059257219,30,30,1,8,12,0.15,0.25,Small,Red,,Pull-On,Adult General Sizing,Solid,Solid,Clay,Small,Vapor Apparel,Polyester,Great on its own or as a base layer.,Made with 5 recycled plastic water bottles,Set-in sleeve for natural shape,"Fits true-to-size, unisex fit","50% Repreve Polyester, 37% Modal, 13% Cotton",50,,Modal,13,Cotton,Year Round Fabric Construction,Regular Fit,No Collar,Double-Stitched Seam,Plain Hem,Round,Short Sleeve,Below Waist,Gender Neutral,Tumble Dry,Machine Wash,Athletic T-Shirts,,,,,,,,Adult (18 Years and Up),Pull-On,Polyester,50,Modal,37,,,UV Protection Treatment,,,,,,,,,,Flat,Cotton,13,,https://images.acenda-static.com/vaporapparel/product/original/3/3c7e435fb3078b479cdbd58e26b12f6f.jpg, https://images.acenda-static.com/vaporapparel/product/original/4/44d0d6c208d6e60480eb7619c4576624.jpg, https://images.acenda-static.com/vaporapparel/product/original/1/b954bf238021a5c67d9189e373ee167e.jpg,,,,
variant,variant-8,,,"Vapor Apparel Unisex 200 Mile Short Sleeve T-Shirt, Grey, Small","This ultra-soft unisex shirt is a lightweight layer for any season. Our comfortable recycled fabric is crafted from a blend of recycled materials, including post-consumer plastics such as water bottles. Our commitment to using recycled materials aligns with our goal to reduce environmental waste. Our 200-mile tee is a tri-blend that's made from start to finish within a 200-mile radius. This shirt helps us reduce our carbon footprint and support U.S. manufacturing.",VA-TP10012GRES,VA-TP10012GRES,196059257271,30,30,1,8,12,0.15,0.25,Small,Gray,,Pull-On,Adult General Sizing,Solid,Solid,Grey,Small,Vapor Apparel,Polyester,Great on its own or as a base layer.,Made with 5 recycled plastic water bottles,Set-in sleeve for natural shape,"Fits true-to-size, unisex fit","50% Repreve Polyester, 37% Modal, 13% Cotton",50,,Modal,13,Cotton,Year Round Fabric Construction,Regular Fit,No Collar,Double-Stitched Seam,Plain Hem,Round,Short Sleeve,Below Waist,Gender Neutral,Tumble Dry,Machine Wash,Athletic T-Shirts,,,,,,,,Adult (18 Years and Up),Pull-On,Polyester,50,Modal,37,,,UV Protection Treatment,,,,,,,,,,Flat,Cotton,13,,https://images.acenda-static.com/vaporapparel/product/original/3/3adc2264606320a9099d9df8f85a8dd5.jpg, https://images.acenda-static.com/vaporapparel/product/original/1/ac597cc25e47477c2e17dbe4b586bd8b.jpg, https://images.acenda-static.com/vaporapparel/product/original/2/273bfaf1595fd646b1fb6937da3b1d5a.jpg, https://images.acenda-static.com/vaporapparel/product/original/2/2e21cf29ea24d2fdf8e490f275743c99.jpg,,,
variant,variant-8,,,"Vapor Apparel Unisex 200 Mile Short Sleeve T-Shirt, Lichen, Small","This ultra-soft unisex shirt is a lightweight layer for any season. Our comfortable recycled fabric is crafted from a blend of recycled materials, including post-consumer plastics such as water bottles. Our commitment to using recycled materials aligns with our goal to reduce environmental waste. Our 200-mile tee is a tri-blend that's made from start to finish within a 200-mile radius. This shirt helps us reduce our carbon footprint and support U.S. manufacturing.",VA-TP10012LICS,VA-TP10012LICS,196059257349,30,30,1,8,12,0.15,0.25,Small,Green,,Pull-On,Adult General Sizing,Solid,Solid,Lichen,Small,Vapor Apparel,Polyester,Great on its own or as a base layer.,Made with 5 recycled plastic water bottles,Set-in sleeve for natural shape,"Fits true-to-size, unisex fit","50% Repreve Polyester, 37% Modal, 13% Cotton",50,,Modal,13,Cotton,Year Round Fabric Construction,Regular Fit,No Collar,Double-Stitched Seam,Plain Hem,Round,Short Sleeve,Below Waist,Gender Neutral,Tumble Dry,Machine Wash,Athletic T-Shirts,,,,,,,,Adult (18 Years and Up),Pull-On,Polyester,50,Modal,37,,,UV Protection Treatment,,,,,,,,,,Flat,Cotton,13,,https://images.acenda-static.com/vaporapparel/product/original/5/59cf7864708c504be7884cfca8791fbf.jpg, https://images.acenda-static.com/vaporapparel/product/original/9/9ddb0a970ea77e43e9ed5c284ddb701e.jpg,,,,,
variant,variant-8,,,"Vapor Apparel Unisex 200 Mile Short Sleeve T-Shirt, Slate, Small","This ultra-soft unisex shirt is a lightweight layer for any season. Our comfortable recycled fabric is crafted from a blend of recycled materials, including post-consumer plastics such as water bottles. Our commitment to using recycled materials aligns with our goal to reduce environmental waste. Our 200-mile tee is a tri-blend that's made from start to finish within a 200-mile radius. This shirt helps us reduce our carbon footprint and support U.S. manufacturing.",VA-TP10012SLAS,VA-TP10012SLAS,196059257462,30,30,1,8,12,0.15,0.25,Small,Blue,,Pull-On,Adult General Sizing,Solid,Solid,Slate,Small,Vapor Apparel,Polyester,Great on its own or as a base layer.,Made with 5 recycled plastic water bottles,Set-in sleeve for natural shape,"Fits true-to-size, unisex fit","50% Repreve Polyester, 37% Modal, 13% Cotton",50,,Modal,13,Cotton,Year Round Fabric Construction,Regular Fit,No Collar,Double-Stitched Seam,Plain Hem,Round,Short Sleeve,Below Waist,Gender Neutral,Tumble Dry,Machine Wash,Athletic T-Shirts,,,,,,,,Adult (18 Years and Up),Pull-On,Polyester,50,Modal,37,,,UV Protection Treatment,,,,,,,,,,Flat,Cotton,13,,https://images.acenda-static.com/vaporapparel/product/original/7/788f53932e6f208f099affb08043e09e.jpg, https://images.acenda-static.com/vaporapparel/product/original/1/efd4efdb06094e7e62d9e9865553d8b8.jpg,,,,,
variant,variant-8,,,"Vapor Apparel Unisex 200 Mile Short Sleeve T-Shirt, Silver, Small","This ultra-soft unisex shirt is a lightweight layer for any season. Our comfortable recycled fabric is crafted from a blend of recycled materials, including post-consumer plastics such as water bottles. Our commitment to using recycled materials aligns with our goal to reduce environmental waste. Our 200-mile tee is a tri-blend that's made from start to finish within a 200-mile radius. This shirt helps us reduce our carbon footprint and support U.S. manufacturing.",VA-TP10012SLRS,VA-TP10012SLRS,196059257523,30,30,1,8,12,0.15,0.25,Small,Gray,,Pull-On,Adult General Sizing,Solid,Solid,Silver,Small,Vapor Apparel,Polyester,Great on its own or as a base layer.,Made with 5 recycled plastic water bottles,Set-in sleeve for natural shape,"Fits true-to-size, unisex fit","50% Repreve Polyester, 37% Modal, 13% Cotton",50,,Modal,13,Cotton,Year Round Fabric Construction,Regular Fit,No Collar,Double-Stitched Seam,Plain Hem,Round,Short Sleeve,Below Waist,Gender Neutral,Tumble Dry,Machine Wash,Athletic T-Shirts,,,,,,,,Adult (18 Years and Up),Pull-On,Polyester,50,Modal,37,,,UV Protection Treatment,,,,,,,,,,Flat,Cotton,13,,https://images.acenda-static.com/vaporapparel/product/original/4/48331cf9fe9d1e143f05d197fa868745.jpg, https://images.acenda-static.com/vaporapparel/product/original/9/976eee3b56db4cc7d32e1e51fa6afbce.jpg, https://images.acenda-static.com/vaporapparel/product/original/1/ac29954edc8a81c934ce73f9c40e0745.jpg, https://images.acenda-static.com/vaporapparel/product/original/5/5807175615a2c1e365a188bb4c29b51d.jpg,,,
variant,variant-8,,,"Vapor Apparel Unisex 200 Mile Short Sleeve T-Shirt, CharBlack, Medium","This ultra-soft unisex shirt is a lightweight layer for any season. Our comfortable recycled fabric is crafted from a blend of recycled materials, including post-consumer plastics such as water bottles. Our commitment to using recycled materials aligns with our goal to reduce environmental waste. Our 200-mile tee is a tri-blend that's made from start to finish within a 200-mile radius. This shirt helps us reduce our carbon footprint and support U.S. manufacturing.",VA-TP10012CKBM,VA-TP10012CKBM,196059257165,30,30,1,8,12,0.15,0.25,Medium,Black,,Pull-On,Adult General Sizing,Solid,Solid,CharBlack,Medium,Vapor Apparel,Polyester,Great on its own or as a base layer.,Made with 5 recycled plastic water bottles,Set-in sleeve for natural shape,"Fits true-to-size, unisex fit","50% Repreve Polyester, 37% Modal, 13% Cotton",50,,Modal,13,Cotton,Year Round Fabric Construction,Regular Fit,No Collar,Double-Stitched Seam,Plain Hem,Round,Short Sleeve,Below Waist,Gender Neutral,Tumble Dry,Machine Wash,Athletic T-Shirts,,,,,,,,Adult (18 Years and Up),Pull-On,Polyester,50,Modal,37,,,UV Protection Treatment,,,,,,,,,,Flat,Cotton,13,,https://images.acenda-static.com/vaporapparel/product/original/7/7cf50ac589c49fe2b901bf389272cfc1.jpg, https://images.acenda-static.com/vaporapparel/product/original/5/579ac4a51fac0c38af79da4a68d6e77f.jpg, https://images.acenda-static.com/vaporapparel/product/original/2/26ed787cb682f7f6894238ac0a91c0f2.jpg,,,,
variant,variant-8,,,"Vapor Apparel Unisex 200 Mile Short Sleeve T-Shirt, Clay, Medium","This ultra-soft unisex shirt is a lightweight layer for any season. Our comfortable recycled fabric is crafted from a blend of recycled materials, including post-consumer plastics such as water bottles. Our commitment to using recycled materials aligns with our goal to reduce environmental waste. Our 200-mile tee is a tri-blend that's made from start to finish within a 200-mile radius. This shirt helps us reduce our carbon footprint and support U.S. manufacturing.",VA-TP10012CLAM,VA-TP10012CLAM,196059257226,30,30,1,8,12,0.15,0.25,Medium,Red,,Pull-On,Adult General Sizing,Solid,Solid,Clay,Medium,Vapor Apparel,Polyester,Great on its own or as a base layer.,Made with 5 recycled plastic water bottles,Set-in sleeve for natural shape,"Fits true-to-size, unisex fit","50% Repreve Polyester, 37% Modal, 13% Cotton",50,,Modal,13,Cotton,Year Round Fabric Construction,Regular Fit,No Collar,Double-Stitched Seam,Plain Hem,Round,Short Sleeve,Below Waist,Gender Neutral,Tumble Dry,Machine Wash,Athletic T-Shirts,,,,,,,,Adult (18 Years and Up),Pull-On,Polyester,50,Modal,37,,,UV Protection Treatment,,,,,,,,,,Flat,Cotton,13,,https://images.acenda-static.com/vaporapparel/product/original/3/3c7e435fb3078b479cdbd58e26b12f6f.jpg, https://images.acenda-static.com/vaporapparel/product/original/4/44d0d6c208d6e60480eb7619c4576624.jpg, https://images.acenda-static.com/vaporapparel/product/original/1/b954bf238021a5c67d9189e373ee167e.jpg,,,,
variant,variant-8,,,"Vapor Apparel Unisex 200 Mile Short Sleeve T-Shirt, Grey, Medium","This ultra-soft unisex shirt is a lightweight layer for any season. Our comfortable recycled fabric is crafted from a blend of recycled materials, including post-consumer plastics such as water bottles. Our commitment to using recycled materials aligns with our goal to reduce environmental waste. Our 200-mile tee is a tri-blend that's made from start to finish within a 200-mile radius. This shirt helps us reduce our carbon footprint and support U.S. manufacturing.",VA-TP10012GREM,VA-TP10012GREM,196059257288,30,30,1,8,12,0.15,0.25,Medium,Gray,,Pull-On,Adult General Sizing,Solid,Solid,Grey,Medium,Vapor Apparel,Polyester,Great on its own or as a base layer.,Made with 5 recycled plastic water bottles,Set-in sleeve for natural shape,"Fits true-to-size, unisex fit","50% Repreve Polyester, 37% Modal, 13% Cotton",50,,Modal,13,Cotton,Year Round Fabric Construction,Regular Fit,No Collar,Double-Stitched Seam,Plain Hem,Round,Short Sleeve,Below Waist,Gender Neutral,Tumble Dry,Machine Wash,Athletic T-Shirts,,,,,,,,Adult (18 Years and Up),Pull-On,Polyester,50,Modal,37,,,UV Protection Treatment,,,,,,,,,,Flat,Cotton,13,,https://images.acenda-static.com/vaporapparel/product/original/3/3adc2264606320a9099d9df8f85a8dd5.jpg, https://images.acenda-static.com/vaporapparel/product/original/1/ac597cc25e47477c2e17dbe4b586bd8b.jpg, https://images.acenda-static.com/vaporapparel/product/original/2/273bfaf1595fd646b1fb6937da3b1d5a.jpg, https://images.acenda-static.com/vaporapparel/product/original/2/2e21cf29ea24d2fdf8e490f275743c99.jpg,,,
