sku,fields.name,fields.brand,fields.description,fields.material,fields.pattern,fields.bullet_1,fields.bullet_2,fields.bullet_3,fields.bullet_4,fields.bullet_5,fields.country_of_origin,fields.import_description,fields.assembly_details,fields.frame_color,fields.material_frame,fields.targeted_audience,fields.subtype,fields.maximum_seating_capacity,fields.number_of_piece,fields.seat_depth,fields.seat_height_floor_to_set_top,fields.seat_width,fields.target_listing_action,fields.target_posting_template,fields.warranty,fields.target_sku,fields.cushion_type,fields.arm_type,fields.cushion_textiles_1,fields.maximum_set_seating_capacity,fields.seating_piece_1_depth,fields.seating_piece_1_height,fields.seating_piece_1_seat_depth,fields.seating_piece_1_type,fields.seating_piece_1_weight,fields.seating_piece_1_width,fields.shape,fields.tabletop_thickness,fields.material_textile_1,fields.pattern_group,fields.seat_back_height,fields.upholstery,fields.material_furniture_hardware,fields.cushion_material_fill_1,fields.seating_piece_1_material_seat,fields.seating_piece_1_seat_back_height,fields.battery_1_information,fields.capacity_volume,fields.care_and_cleaning,fields.pet_type,fields.base_height,fields.base_length,fields.base_width,fields.base_weight,fields.maximum_pole_diameter_accommodated,fields.base_weight_approximate_when_filled,fields.fillable_base,fields.power_source,fields.closure_type,fields.material_fill_1,fields.seat_cushion_depth,fields.seat_cushion_thickness,fields.seat_cushion_width,fields.height_adjustability,fields.seat_height_maximum_floor_to_seat_top,fields.seat_height_minimum_floor_to_seat_top,fields.includes,fields.pole_diameter,fields.pole_height,fields.umbrella_lift_type,fields.umbrella_shade_color,fields.umbrella_weight,fields.umbrella_width,fields.ligthed,fields.umbrella_length,fields.umbrella_tilt,fields.lighted,fields.number_of_settings,fields.heat_coverage,fields.maximum_heat_output,fields.extension_table,fields.table_base_style,fields.table_piece_1_number_of_seats_accommodated,fields.table_piece_1_floor_to_apron_height,fields.table_piece_1_height,fields.table_piece_1_length,fields.table_piece_1_weight,fields.table_piece_1_width,fields.number_of_seats_accommodated,fields.material_surface,fields.floor_to_apron_height,fields.pet_lifestage,fields.protective_qualities,fields.table_piece_1_type,fields.seat_or_cushion_color,fields.required_not_included,fields.material_fill_percentage_1,fields.seat_back_width,fields.material_tabletop,options.0,options.1
variant-6,WestinTrends Malibu HDPE Outdoor Patio Folding Poly Adirondack Chair,WestinTrends,"Elevate your patio with this vibrant and eye-catching foldable Adirondack chair. Perfect for the outdoors, the chair's HDPE construction can withstand outdoor elements with weather-resistant, UV, and fade-resistant materials that will keep the chair's vibrant color all year long. Sit down in comfort with wide armrests, a contoured, waterfall seat, and low seat depth, ensuring maximum comfort. Turn your patio into a place of comfort with this beautiful Adirondack chair.",,,Eco-friendly and durable hdpe polyethylene material promotes sustainability,Optimized storage capability with effortless folding feature for convenient storage,"Resistant to sun exposure, snow, rain, and wet rot",Product quality assurance with all-weather & uv resistant construction,"Timeless, classic aesthetic, featuring a wide backrest, armrests, and waterfall seat",,imported,"Adult Assembly Required, Tools Provided",,HDPE (High-Density Polyethylene),Adult,Adirondack Chairs,1,1,20,14,20.3,FULL,Patio Accent Chairs,30 Day Limited Warranty,,Hard Seat (No Cushion),Fixed Arms,,,,,,,,,,,,,,,,,,,,,Spot or Wipe Clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All-Weather Design,,,,,,,size,color
variant-11,WestinTrends Ashore Modern Outdoor Patio Folding Adirondack Chair,WestinTrends,"This contemporary outdoor folding chair has a contoured seat for ultimate comfort. Built to withstand a range of climates, including hot sun, snowy winters, and strong coastal winds. UV-Resistant color keeps its rich, vibrant colors for many years of use. The outdoor chair is the perfect addition to any porch, patio, or veranda. Cleans easily with soap, water, and a soft-bristle brush. These well-constructed patio chairs have marine-grade quality hardware, ideal for lounging outdoors or in your favorite indoor spot. Multi-functional because it can also be used indoors. Let your outdoor living experience flourish when you invest in this solid plastic folding chair. Available in easy-to-match color options.",,,Eco-friendly and durable hdpe polyethylene material promotes sustainability,Optimized storage capability with effortless folding feature for convenient storage,"Resistant to sun exposure, snow, rain, and wet rot",Product quality assurance with all-weather & uv resistant construction,"Modern tall back style, armrests, and curved seat provides sleek clean construction and enhanced comfort",,imported,"Adult Assembly Required, Tools Provided",,HDPE (High-Density Polyethylene),Adult,Adirondack Chairs,1,1,20,15,20.5,FULL,Patio Accent Chairs,30 Day Limited Warranty,,Hard Seat (No Cushion),Fixed Arms,,,,,,,,,,,,,,,,,,,,,Spot or Wipe Clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All-Weather Design,,,,,,,size,color
variant-16,WestinTrends Dylan Outdoor Patio Adirondack Chair,WestinTrends,"Sit back, relax, and catch a tan or enjoy some family time on this stunningly crafted Adirondack chair. Designed with comfort and style in mind, with broad armrests for extra armroom, a curved, reclined seashell backrest for a more comfortable seat, and a high back that helps reduce tension on your back. Constructed from durable and solid HDPE material that is weather-resistant and, unlike wood, won't rot, crack, chip, peel, or splinter. A UV-resistant coating prevents fading, keeping the colors vibrant and amazing all year long. This attractive chair is easy to clean, making it perfect for the outdoors, and is sure to make your backyard the place to be",,,Eco-friendly and durable hdpe polyethylene material promotes sustainability,Vibrantly colored during manufacturing for even distribution & deep embedding of colors within the plastic,"Resistant to sun exposure, snow, rain, and wet rot",Product quality assurance with all-weather & uv resistant construction,"Enhanced sink-in comfort with sloped seat, armrests and wide backrest",,imported,"Adult Assembly Required, Tools Provided",,HDPE (High-Density Polyethylene),Adult,Adirondack Chairs,1,1,20,15,22,FULL,Patio Accent Chairs,30 Day Limited Warranty,,Hard Seat (No Cushion),Fixed Arms,,,,,,,,,,,,,,,,,,,,,Spot or Wipe Clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All-Weather Design,,,,,,,size,color
variant-21,WestinTrends Tuscany HIPS Outdoor Patio Folding Adirondack Chair,WestinTrends,"Bring the great outdoors to your backyard with this quaint and rustic folding Adirondack seashell chair. Charming mid-west farmhouse design that brings the homestead to you and is perfect for comfort with the spacious contoured seat, curved seashell backrest, and wide armrest. Sit down with reassurance that the chair will stay perfect each season, thanks to the durable HIPS (Polystyrene) plastic that is an all-weather-resistant material perfect for withstanding outdoor weather like the harsh sun, strong winds, and snow. The material also has a smooth wood grain texture that mimics that of natural wood for a perfect outdoor aesthetic. Designed to last with durable construction that prevents cracks, chips, or peeling.",,,"Eco-friendly, high impact, hips material mimics the appearance of wood without the upkeep",Optimized storage capability with effortless folding feature for convenient storage,"Resistant to sun exposure, snow, rain, and wet rot",Product quality assurance with all-weather & uv resistant construction,"Tall, curved, seashell backrest, wide sloped seat base, and  armrests enhance comfort for prolonged lounging",,imported,"Adult Assembly Required, Tools Provided",,Polystyrene,Adult,Adirondack Chairs,1,1,20,15.4,22,FULL,Patio Accent Chairs,30 Day Limited Warranty,,Hard Seat (No Cushion),Fixed Arms,,,,,,,,,,,,,,,,,,,,,Spot or Wipe Clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All-Weather Design,,,,,,,size,color
variant-29,WestinTrends Dylan HDPE Outdoor Patio Adirondack Chair (Set of 4),WestinTrends,"Sit back, relax, and catch a tan or enjoy some family time on this stunningly crafted 4-piece Adirondack chair set. Designed with comfort and style in mind, with a broad armrest for extra armroom, a seashell design and curved reclined backrest for a more comfortable seat, and a high back that helps create less tension on your back. Constructed from a durable and solid HDPE material that is weather resistant and, unlike wood, won't rot, crack, chip, peel, or splinter. A UV-protective coating prevents fading, keeping the colors vibrant and amazing all year long. These attractive chairs are easy to clean, making them perfect for the outdoors, and they are sure to make your backyard the place to be.",,,Set Includes: Four (4) Dylan Chairs,Vibrantly colored during manufacturing for even distribution & deep embedding of colors within the plastic,"This product's all-weather and uv-resistant construction ensures it withstands sun exposure, snow, rain, and wet rot","Enhanced sink-in comfort with sloped seat, armrests and wide backrest",,,imported,"Adult Assembly Required, Some Tools Provided",,HDPE (High-Density Polyethylene),Adult,Patio Lounge Sets,4,4,20,15,22,FULL,Patio Seating Sets,30 Day Limited Warranty,,Hard Seat (No Cushion),Fixed Arms,No Cushion,,20,15,20,Adirondack chair,42,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Arm Chairs,,,,,,,,,,,,,,,,,,,,,,,,,,All-Weather Design,,,,,,,size,color
variant-39,WestinTrends Tuscany HIPS Outdoor Patio Folding Adirondack Chair (Set of 4),WestinTrends,"Bring the great outdoors to your backyard with this 4-piece quaint and rustic folding Adirondack seashell chair set. Charming mid-west farmhouse design that brings the homestead to you and is perfect for comfort with the spacious contoured seat, curved seashell backrest, and wide armrest. Sit down with reassurance that the chair will stay perfect each season, thanks to the durable HIPS (Polystyrene) plastic that is an all-weather-resistant material that is perfect for withstanding the outdoor weather like the harsh sun, strong winds, and snow. The material also has a smooth wood grain texture that mimics that of natural wood for a perfect outdoor aesthetic. Designed to last with durable construction that prevents cracks, chips, or peeling.",,,Set Includes: Four (4) Tuscany Chairs,Optimized storage capability with effortless folding feature for convenient storage,"This product's all-weather and uv-resistant construction ensures it withstands sun exposure, snow, rain, and wet rot","Tall, curved, seashell backrest, wide sloped seat base, and  armrests enhance comfort for prolonged lounging",,,imported,"Adult Assembly Required, Some Tools Provided",,Polystyrene,Adult,Patio Lounge Sets,4,4,20,15.4,22,FULL,Patio Seating Sets,30 Day Limited Warranty,,Hard Seat (No Cushion),Fixed Arms,No Cushion,,20,15.4,20,Adirondack chair,39.9,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 Adirondack Chairs,,,,,,,,,,,,,,,,,,,,,,,,,,All-Weather Design,,,,,,,size,color
variant-41,WestinTrends Tuscany HIPS Outdoor Patio Folding Adirondack Chair (Set of 8),WestinTrends,"Bring the great outdoors to your backyard and relax with friends and family with this quaint and rustic 8-piece folding Adirondack seashell chair set. Charming mid-west farmhouse design that brings the homestead to you and is perfect for comfort with the spacious contoured seat, curved seashell backrest, and wide armrest. Sit down with reassurance that the chair will stay perfect each season, thanks to the durable High Impact Polystyrene (HIPS) plastic that is an all-weather-resistant material that is perfect for withstanding the outdoor weather like the harsh sun, strong winds, and snow. The material also has a smooth wood grain texture that mimics that of natural wood for a perfect outdoor aesthetic.",,,Set Includes: Eight (8) Tuscany Chairs,Optimized storage capability with effortless folding feature for convenient storage,"This product's all-weather and uv-resistant construction ensures it withstands sun exposure, snow, rain, and wet rot","Tall, curved, seashell backrest, wide sloped seat base, and  armrests enhance comfort for prolonged lounging",,,imported,"Adult Assembly Required, Some Tools Provided",,Polystyrene,Adult,Patio Lounge Sets,8,8,20,15.4,22,FULL,Patio Seating Sets,30 Day Limited Warranty,,Hard Seat (No Cushion),Fixed Arms,No Cushion,,20,15.4,20,Adirondack chair,39.9,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Arm Chairs,,,,,,,,,,,,,,,,,,,,,,,,,,All-Weather Design,,,,,,,size,color
variant-46,WestinTrends Dylan HDPE Outdoor Patio Adirondack Chair (Set of 8),WestinTrends,"Sit back, relax, and catch a tan or enjoy some family time on this stunningly crafted 8-piece Adirondack chair set. Designed with comfort and style in mind, with a broad armrest for extra arm room, a seashell design and curved reclined backrest for a more comfortable seat, and a high back that helps create less tension on your back. Constructed from a durable and solid HDPE material that is weather resistant and, unlike wood, won't rot, crack, chip, peel, or splinter. A UV-protective coating prevents fading, keeping the colors vibrant and amazing all year long. These attractive chairs are easy to clean, making them perfect for the outdoors, and they are sure to make your backyard the place to be.",,,Set Includes: Eight (8) Dylan Chairs,Vibrantly colored during manufacturing for even distribution & deep embedding of colors within the plastic,"This product's all-weather and uv-resistant construction ensures it withstands sun exposure, snow, rain, and wet rot","Enhanced sink-in comfort with sloped seat, armrests and wide backrest",,,imported,"Adult Assembly Required, Some Tools Provided",,HDPE (High-Density Polyethylene),Adult,Patio Lounge Sets,8,8,20,15,22,FULL,Patio Seating Sets,30 Day Limited Warranty,,Hard Seat (No Cushion),Fixed Arms,No Cushion,,20,15,20,Adirondack chair,42,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Arm Chairs,,,,,,,,,,,,,,,,,,,,,,,,,,All-Weather Design,,,,,,,size,color
variant-79,WestinTrends Malibu HDPE Outdoor Patio Folding Poly Adirondack Chairs with Ottomans and Side Table (5-Piece Conversation Set),WestinTrends,"Make your backyard into an oasis with this amazing 5-piece patio set. Each piece in the set is made of a durable weather resistant HDPE material that is made to last each season. Sit in comfort with classic Adirondack chairs that feature a wide armrest, a wide contoured seat, and a waterfall front that flows with the shape of the back of your knees for the most comfortable seat. Get more out of the chairs with the ottomans to rest your feet on and fall into a deep state of relaxation. Each piece has a UV resistant finish to protect the set from the harsh UV rays and has fade-resistant colors to keep those beautiful colors all season long. This is the perfect set to add some color and comfort to your backyard.</p>
<strong>Details</strong></p>
<ul>
  <li>Primary Material: HDPE</li>
  <li>Hardware Material: Marine Grade Stainless Steel</li>
  <li>Weight Capacity Per Chair: 330 LBS</li>
  <li>Weight Capacity Per Table: 180 LBS</li>
</ul>
<strong>Product Dimensions</strong></p>
<ul>
  <li>Adirondack Chair: 29.2"" W x 32"" D x 35.2"" H</li>
  <li>Chair Seat Height - Floor to Seat: 14""</li>
  <li>Side Table: 14"" W x 14"" D x 18"" H</li>
  <li>Ottoman: 14"" W x 14"" D x 18"" H</li>
  <li>Chair Weight: 36 LBS</li>
  <li>Table Weight: 8.9 LBS</li>
  <li>Ottoman Weight: 8.8 LBS</li>
</ul>",HDPE (High-Density Polyethylene),,"Set Includes: Two (2) Malibu Adirondack Chairs, Two (2) Folding Ottomans, One (1) Side Table.",The chairs and ottomans feature an optimized storage capability with an effortless folding feature for convenient storage.,"This set features all-weather and uv-resistant construction ensuring it withstands sun exposure, snow, rain, and wet rot","The chairs features a timeless, classic aesthetic, with a wide backrest, armrests, and waterfall seat",,,imported,"Adult Assembly Required, Tools Provided",,HDPE (High-Density Polyethylene),Adult (18 Years and Up),Patio Conversation Sets,2,5,20,14,20.3,FULL,Patio Seating Sets,30 Day Limited Warranty,,Hard Seat (No Cushion),,No Cushion,,20,14,20,Adirondack chair,36,20.3,,,,,,,,,HDPE (High-Density Polyethylene),,,,,,35,32,,36,,,,,,,,,,,,,2 Adirondack Chairs,,,,,,,,,,,,,,,,,,,,,,,,,,All-Weather Design,,,,,,,size,color
variant-84,WestinTrends Dylan HDPE Outdoor Patio Adirondack Chairs with Ottomans and Side Table (5-Piece Conversation Set),WestinTrends,"Sit back, relax, and catch a tan or enjoy some family time on these stunningly crafted 5-piece Adirondack chairs with ottoman set. Designed with comfort and style in mind, with a broad armrest for extra arm room, a seashell design and curved reclined backrest for a more comfortable seat, and a high back that helps create less tension on your back. Constructed from a durable and solid HDPE material that is weather resistant and, unlike wood, won't rot, crack, chip, peel, or splinter. A UV-protective coating prevents fading, keeping the colors vibrant and amazing all year long. These attractive chairs are easy to clean, making them perfect for the outdoors, and they are sure to make your backyard the place to be.</p>
<strong>Details</strong></p>
<ul>
  <li>Primary Material: HDPE</li>
  <li>Hardware Material: Marine Grade Stainless Steel</li>
  <li>Weight Capacity Per Chair: 300 LBS</li>
  <li>Weight Capacity Per Table: 180 LBS</li>
</ul>
<strong>Product Dimensions</strong></p>
<ul>
  <li>Adirondack Chair: 24"" W x 33.5"" D x 36.4"" H</li>
  <li>Chair Seat Height - Floor to Seat: 15""</li>
  <li>Side Table: 18"" W x 18"" D x 18"" H</li>
  <li>Ottoman: 14"" W x 14"" D x 18"" H</li>
  <li>Chair Weight: 42 LBS</li>
  <li>Table Weight: 10.5 LBS</li>
  <li>Ottoman Weight: 8.8 LBS</li>
</ul>",,,"Set Includes: Two (2) Dylan Adirondack Chairs, Two (2) Folding Ottomans, One (1) Side Table",Vibrantly colored during manufacturing for even distribution & deep embedding of colors within the plastic.,"This collection features all-weather and uv-resistant construction ensuring it withstands sun exposure, snow, rain, and wet rot","The chairs feature an enhanced sink-in comfort with sloped seat, armrests and wide backrest",,,imported,"Adult Assembly Required, Tools Provided",,HDPE (High-Density Polyethylene),Adult (18 Years and Up),Patio Conversation Sets,2,5,20,15,22,FULL,Patio Seating Sets,30 Day Limited Warranty,,Hard Seat (No Cushion),,No Cushion,,20,15,20,Adirondack chair,42,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Adirondack Chairs,,,,,,,,,,,,,,,,,,,,,,,,,,All-Weather Design,,,,,,,size,color
