sku,fields.weight.value,fields.package_height,fields.package_width.value,fields.package_length.value,fields.height.value,fields.width.value,fields.length.value,fields.package_weight.value,fields.abn_size,fields.target_color,fields.frame_color,fields.color,fields.size
2001010-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Black,Black,Black,1pc
2001301-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Gray,Gray,Gray,1pc
2001012-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Beige,Beige,Sand,1pc
2001081-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Blue,Blue,Pacific Blue,1pc
2001262-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Beige,Beige,Weathered Wood,1pc
2001031-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Red,Red,Red,1pc
2001131-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,green,green,Lime,1pc
2001013-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Beige,beige,Teak,1pc
2001011-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,White,White,White,1pc
2001029-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,green,green,Dark Green,1pc
2001311-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Brown,Brown,Dark Brown,1pc
2001006-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Orange,Orange,Orange,1pc
2001112-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Blue,Blue,Navy Blue,1pc
2001071-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,green,green,Turquoise,1pc
OP6002-PB-TAG,39.2,21,35,6.5,35.6,30,32,44,,Blue,Blue,Pacific Blue,1pc
OP6002-TQ-TAG,39.2,21,35,6.5,35.6,30,32,44,,green,green,Turquoise,1pc
OP6002-BK-TAG,39.2,21,35,6.5,35.6,30,32,44,,Black,Black,Black,1pc
OP6002-DB-TAG,39.2,21,35,6.5,35.6,30,32,44,,Brown,Brown,Dark Brown,1pc
OP6002-NB-TAG,39.2,21,35,6.5,35.6,30,32,44,,Blue,Blue,Navy Blue,1pc
OP6002-RD-TAG,39.2,21,35,6.5,35.6,30,32,44,,Red,Red,Red,1pc
OP6002-OR-TAG,39.2,21,35,6.5,35.6,30,32,44,,Orange,Orange,Orange,1pc
OP6002-GY-TAG,39.2,21,35,6.5,35.6,30,32,44,,Gray,Gray,Gray,1pc
OP6002-SD-TAG,39.2,21,35,6.5,35.6,30,32,44,,Beige,Beige,Sand,1pc
OP6002-WH-TAG,39.2,21,35,6.5,35.6,30,32,44,,White,White,White,1pc
OP6002-WW-TAG,39.2,21,35,6.5,35.6,30,32,44,,Beige,Beige,Weathered Wood,1pc
OP6002-LM-TAG,39.2,21,35,6.5,35.6,30,32,44,,green,green,Lime,1pc
OP6002-TK-TAG,39.2,21,35,6.5,35.6,30,32,44,,Beige,beige,Teak,1pc
OP6002-DG-TAG,39.2,21,35,6.5,35.6,30,32,44,,green,green,Dark Green,1pc
OP6001-DKBR-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Brown,Brown,Dark Brown,
OP6001-BK-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Black,Black,Black,
OP6001-PB-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Blue,Blue,Pacific Blue,
OP6001-WW-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Beige,Beige,Weathered Wood,
OP6001-GY-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Gray,Gray,Gray,
OP6001-OR-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Orange,Orange,Orange,
OP6001-WH-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,White,White,White,
OP6001-TQ-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,green,green,Turquoise,
OP6001-RD-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Red,Red,Red,
OP6001-LM-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,green,green,Lime,
OP6001-NB-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Blue,Blue,Navy Blue,
OP6001-DKGR-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,green,green,Dark Green,
OP6010-WH-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,White,White,White,
OP6010-TP-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Beige,Beige,Taupe,
OP6010-CG-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Gray,Gray,Charcoal Gray,
OP6010-BK-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Black,Black,Black,
OP6010-TK-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Beige,beige,Teak,
OP6010-WG-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Gray,Gray,Weathered Gray,
OP6010-NB-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,blue,blue,Navy,
OP6001-WW-4-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Beige,Beige,Weathered Wood,
OP6001-NB-4-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Blue,Blue,Navy Blue,
OP6001-GY-4-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Gray,Gray,Gray,
OP6001-TQ-4-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,green,green,Turquoise,
OP6001-DKBR-4-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Brown,Brown,Dark Brown,
OP6001-LM-4-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,green,green,Lime,
OP6001-BK-4-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Black,Black,Black,
OP6001-PB-4-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Blue,Blue,Pacific Blue,
OP6001-DKGR-4-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,green,green,Dark Green,
OP6001-RD-4-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Red,Red,Red,
OP6001-WH-4-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,White,White,White,
OP6001-OR-4-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Orange,Orange,Orange,
OP6012-BK-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Black,Black,Black,
OP6012-TP-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Beige,Beige,Taupe,
OP6012-WG-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Gray,Gray,Weathered Gray,
OP6012-TK-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Beige,beige,Teak,
OP6012-NB-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,blue,blue,Navy,
OP6012-CG-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Gray,Gray,Charcoal Gray,
OP6012-WH-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,White,White,White,
OP6019-CG-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Gray,Gray,Charcoal Gray,
OP6019-WG-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Gray,Gray,Weathered Gray,
