id,status,slug,name,collection_id,category,customer_group_id,external_id,brand,type,tags,description,cross_sellers,review_score,popularity,options,personalization_options,images,videos,dynamic_attributes,page_title,meta_keywords,meta_description,date_modified,date_created,date_publish,date_expire,material,pattern,bullet_1,bullet_2,bullet_3,bullet_4,bullet_5,country_of_origin,cpsc_choking_hazard_warnings,care_and_cleaning,gender,piece_1_apparel_material_1,piece_1_pattern,piece_1_pattern_group,piece_2_apparel_material_1,piece_2_pattern,piece_2_pattern_group,targeted_audience,apparel_and_accessories_subtype,number_of_pieces,bag_linear_inches,number_of_wheels,protective_qualities,pattern_group,warranty_description,bag_structure,primary_item_placement,maximum_weight_capacity,health_and_beauty_subtype,trial_or_travel_size,fabric_weight_type,theme,material_textiles_1,material_textiles_percentage_1,textile_dry_recommendation,textile_wash_recommendation,textile_construction,thread_count,exterior_features,import_description,prop_65,closure_type,closure_style_main_compartment,handle_type,material_handle,material_shell,inteiror_features,shape,construction_method,soft_home_subtype,material_backing_1,material_backing_percentage_1,material_fill_1,material_fill_percentage_1,package_quantity,product_thickness,indoor_outdoor_use,art_subject,artwork_medium,color_tone,frame_color,frame_display_type,orientation,material_frame,required_not_included,hanging_style,target_enabled,target_posting_template,target_sku,target_listing_action,garment_neckline_type,garment_sleeve_length_type,size_grouping,garment_construction_details,beauty_purpose,hair_type,includes,piece_1_quantity,piece_1_type,piece_2_quantity,piece_2_type,piece_2_length,piece_2_width,garment_cuff_type,garment_torso_length,garment_fit,garment_closure_type_tops,legally_required_information,garment_collar_type,mount_type,variant.id,variant.product_id,variant.status,variant.name,variant.description,variant.sku,variant.vendor,variant.mpn,variant.barcode,variant.price,variant.cost,variant.compare_price,variant.save_price,variant.save_percent,variant.position,variant.images,variant.inventory_quantity,variant.inventory_minimum_quantity,variant.inventory_tracking,variant.inventory_policy,variant.inventory_returnable,variant.inventory_shipping_estimate,variant.inventory_shipping_leadtime_min,variant.inventory_shipping_leadtime_max,variant.popularity,variant.has_stock,variant.require_shipping,variant.discountable,variant.taxable,variant.weight,variant.date_publish,variant.date_expire,variant.date_modified,variant.date_created,variant.enable_instockemail,variant.package_height,variant.package_width,variant.package_length,variant.package_ltl,variant.height,variant.width,variant.length,variant.weight.1,variant.dimensions,variant.package_weight,variant.abn_size,variant.target_color,variant.target_enabled,variant.target_sku,variant.target_listing_action,variant.piece_2_length,variant.piece_2_width,variant.number_of_pieces,variant.color_tone,variant.color,variant.size
1.0,active,sample-product,Sample product,,test,,,Acenda,,"[""featured""]",<p><b>This is a sample product description.</b></p><p><li>In the description you should list the features and benefits of the product. </li><li>Retail experts recommend that you limit the number of benefits to three.</li><li>Tip: We recommend installing the <a href=https://moz.com/tools/seo-toolbar>MOZ Toolbar</a> in your browser to optimize your product description for SEO rank and originality.</li></p>,,,,"[""size"",""color""]",,https://images.acenda-static.com/afrochick/product/original/1/b5885b65dc8bead370906ac50e4fed0c.jpg,,,Acenda Sample Product,"sample,product,acenda,ecommerce,commerce,cloud,awesome,easy,beautiful",SEO description will help you to refrence your product throughout the web and bring customers to your store.,2024-02-16 11:04:50,2023-10-31 09:58:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sample-product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,active,Sample product S white,,sample-product-s-white,,,,42.0,10.0,,,,1.0,,99.0,,1.0,deny,1.0,,1.0,3.0,,1.0,1.0,1.0,1.0,2.0,,,2023-10-31 09:58:22,2023-10-31 09:58:21,,,,,,,,,2.0,,,,,,,,,,,,white,S
,,sample-product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,active,Sample product S green,,sample-product-s-green,,,,42.0,10.0,,,,2.0,,99.0,,1.0,deny,1.0,,1.0,3.0,,1.0,1.0,1.0,1.0,2.0,,,2024-06-10 07:47:13,2023-10-31 09:58:21,,,,,,,,,2.0,,,,,,,,,,,,green,S
,,sample-product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,active,Sample product M white,,sample-product-m-white,,,,42.0,10.0,,,,3.0,,99.0,,1.0,deny,1.0,,1.0,3.0,,1.0,1.0,1.0,1.0,2.0,,,2024-07-08 05:42:08,2023-10-31 09:58:21,,,,,,,,,2.0,,,,,,,,,,,,white,M
,,sample-product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,1.0,active,Sample product M green,,sample-product-m-green,,,,42.0,10.0,,,,4.0,,100.0,,1.0,deny,1.0,,1.0,3.0,,1.0,1.0,1.0,1.0,2.0,,,2024-12-06 00:12:52,2023-10-31 09:58:21,,,,,,,,,2.0,,,,,,,,,,,,green,M
,,sample-product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,1.0,active,Sample product L white,,sample-product-l-white,,,,42.0,10.0,,,,5.0,,99.0,,1.0,deny,1.0,,1.0,3.0,,1.0,1.0,1.0,1.0,2.0,,,2024-05-20 07:14:55,2023-10-31 09:58:21,,,,,,,,,2.0,,,,,,,,,,,,white,L
,,sample-product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,1.0,active,Sample product L green,,sample-product-l-green,,,,42.0,10.0,,,,6.0,,99.0,,1.0,deny,1.0,,1.0,3.0,,1.0,1.0,1.0,1.0,2.0,,,2024-07-18 06:41:46,2023-10-31 09:58:22,,,,,,,,,2.0,,,,,,,,,,,,green,L
5.0,active,pardon-my-fro-kimono-ziggy-black-plus-size,Pardon My Fro Silk Duster,,kimono,,,Pardon My Fro,,,"Elevate your daily outfits effortlessly with this stylish satin topper, suitable for any occasion - from casual outings to lounging at home. This versatile piece complements all body shapes and serves as the ideal layering essential to showcase your style. Stand out in this luxurious silk duster and experience the compliments rolling in!",,,10.0,"[""size"",""color""]",,https://images.acenda-static.com/afrochick/product/original/1/19ff1684bebc90ff5aa8f4a9ae85a4f6.jpg,,,,,,2025-01-28 21:58:37,2023-11-08 09:10:03,,,Other Fibers,Abstract,"Crafted from exquisite non-stretch woven satin, this duster is an embodiment of elegance and versatility. Its vibrant, eye-catching print doesn't just make a statement – it celebrates individuality, empowering you to own your unique story with every swish and sway","The long sleeves provide a touch of sophistication, while the self-fabric tie belt cinches at the waist, offering a flattering silhouette for all body shapes.","Whether tied up for a sleek, polished look or left open for a casual, flowy vibe, this duster adapts to your mood and setting.","The meticulous design features belt loops and inside ties, ensuring a secure closure that moves with you, guaranteeing both style and comfort are never compromised.","The side slits and straight hemline further enhance the duster's effortless drape, offering generous room for movement without sacrificing on style.",,no_warning_applicable,Machine Wash,Gender Neutral,Polyester,Silhouette,Figures,Polyester,Silhouette,Figures,Adult (18 Years and Up),Robes,2.0,,,,Abstract,,,,,,,Year Round Fabric Construction,,,,Line Dry or Lay Flat to Dry,Machine Wash,,,,,,Front Tie,,,,,,,,,,,,,,,,,,,,,,,,,,One Piece Pajamas,,FULL,Deep V Neck,Long Sleeve,Womens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,pardon-my-fro-kimono-ziggy-black-plus-size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,5.0,active,"Pardon My Fro | Ziggy Silk Duster Plus Size, BLACK","Around town or around the house, this lustrous satin topper easily enhances your favorite everyday looks. This piece flatters every body type and is the perfect layering piece that makes a statement, okay?! Turn some heads in this kimono, and thank us later.",PMF0622,,,850038550622.0,90.0,,90.0,,,1.0,"https://images.acenda-static.com/afrochick/product/original/4/4837d21644b6e2d2c2f67f013c18fdad.jpg, https://images.acenda-static.com/afrochick/product/original/1/f7d6f682ce57ffe086b49b85e995580e.jpg, https://images.acenda-static.com/afrochick/product/original/1/a734d99c86e785cdae70cb5296099779.jpg, https://images.acenda-static.com/afrochick/product/original/4/48f70fe197a95b5237708a64cbcf21ba.jpg, https://images.acenda-static.com/afrochick/product/original/1/b36d80b7f9bcbf61ea1c3f450eea4ce7.jpg",565.0,,1.0,deny,1.0,,1.0,3.0,4.0,1.0,1.0,1.0,1.0,,,,2025-01-28 21:58:37,2023-11-08 09:19:40,,0.5,10.5,13.5,,,,,,,1.7,One Size Fits Most Plus,Black,,,FULL,,,,,Ziggy,One Size Fits Most Plus
,,pardon-my-fro-kimono-ziggy-black-plus-size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,5.0,active,"Pardon My Fro | Squad Silk Duster Plus Size, BLACK","Around town or around the house, this lustrous satin topper easily enhances your favorite everyday looks. This piece flatters every body type and is the perfect layering piece that makes a statement, okay?! Turn some heads in this kimono, and thank us later.",PMF0639,,,850038550639.0,90.0,,90.0,,,2.0,"https://images.acenda-static.com/afrochick/product/original/1/bb0895e576b8c03855cdeed5d3988b2b.jpg, https://images.acenda-static.com/afrochick/product/original/1/cf2430037bcc40459a299185dd650573.jpg, https://images.acenda-static.com/afrochick/product/original/5/569e0b145bd413960d6e772fc63f7dfe.jpg, https://images.acenda-static.com/afrochick/product/original/1/0a4c08ecaae15c64a6eb921d538b16bd.jpg, https://images.acenda-static.com/afrochick/product/original/2/2a5dfe746f23f9d0b3e26cbd914ada48.jpg",474.0,,1.0,deny,1.0,,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,2025-01-28 21:58:37,2023-11-08 09:19:40,,0.5,10.5,13.5,,,,,,,1.7,One Size Fits Most Plus,Black,,,FULL,,,,,Squad,One Size Fits Most Plus
