sku,group_skus.0
2001010-TAG,variant-6
2001301-TAG,variant-6
2001012-TAG,variant-6
2001081-TAG,variant-6
2001262-TAG,variant-6
2001031-TAG,variant-6
2001131-TAG,variant-6
2001013-TAG,variant-6
2001011-TAG,variant-6
2001029-TAG,variant-6
2001311-TAG,variant-6
2001006-TAG,variant-6
2001112-TAG,variant-6
2001071-TAG,variant-6
OP6002-PB-TAG,variant-11
OP6002-TQ-TAG,variant-11
OP6002-BK-TAG,variant-11
OP6002-DB-TAG,variant-11
OP6002-NB-TAG,variant-11
OP6002-RD-TAG,variant-11
OP6002-OR-TAG,variant-11
OP6002-GY-TAG,variant-11
OP6002-SD-TAG,variant-11
OP6002-WH-TAG,variant-11
OP6002-WW-TAG,variant-11
OP6002-LM-TAG,variant-11
OP6002-TK-TAG,variant-11
OP6002-DG-TAG,variant-11
OP6001-DKBR-TAG,variant-16
OP6001-BK-TAG,variant-16
OP6001-PB-TAG,variant-16
OP6001-WW-TAG,variant-16
OP6001-GY-TAG,variant-16
OP6001-OR-TAG,variant-16
OP6001-WH-TAG,variant-16
OP6001-TQ-TAG,variant-16
OP6001-RD-TAG,variant-16
OP6001-LM-TAG,variant-16
OP6001-NB-TAG,variant-16
OP6001-DKGR-TAG,variant-16
OP6010-WH-TAG,variant-21
OP6010-TP-TAG,variant-21
OP6010-CG-TAG,variant-21
OP6010-BK-TAG,variant-21
OP6010-TK-TAG,variant-21
OP6010-WG-TAG,variant-21
OP6010-NB-TAG,variant-21
OP6001-WW-4-TAG,variant-29
OP6001-NB-4-TAG,variant-29
OP6001-GY-4-TAG,variant-29
OP6001-TQ-4-TAG,variant-29
OP6001-DKBR-4-TAG,variant-29
OP6001-LM-4-TAG,variant-29
OP6001-BK-4-TAG,variant-29
OP6001-PB-4-TAG,variant-29
OP6001-DKGR-4-TAG,variant-29
OP6001-RD-4-TAG,variant-29
OP6001-WH-4-TAG,variant-29
OP6001-OR-4-TAG,variant-29
OP6012-BK-TAG,variant-39
OP6012-TP-TAG,variant-39
OP6012-WG-TAG,variant-39
OP6012-TK-TAG,variant-39
OP6012-NB-TAG,variant-39
OP6012-CG-TAG,variant-39
OP6012-WH-TAG,variant-39
OP6019-CG-TAG,variant-41
