sku,fields.weight.value,fields.package_height,fields.package_width,fields.package_length,fields.height.value,fields.width.value,fields.length.value,fields.package_weight,fields.abn_size,fields.target_color,fields.target_sku,fields.frame_color,fields.color,fields.size
2001010-TAG,36.0,8.6,22.8,36.0,35.2,29.2,32.0,45.0,,Black,WWT00021,Black,Black,1pc
2001301-TAG,36.0,8.6,22.8,36.0,35.2,29.2,32.0,45.0,,Gray,WWT00024,Gray,Gray,1pc
2001012-TAG,36.0,8.6,22.8,36.0,35.2,29.2,32.0,45.0,,Beige,WWT01077,Beige,Sand,1pc
2001081-TAG,36.0,8.6,22.8,36.0,35.2,29.2,32.0,45.0,,Blue,WWT00028,Blue,Pacific Blue,1pc
2001262-TAG,36.0,8.6,22.8,36.0,35.2,29.2,32.0,45.0,,Beige,WWT00032,Beige,Weathered Wood,1pc
2001031-TAG,36.0,8.6,22.8,36.0,35.2,29.2,32.0,45.0,,Red,WWT00029,Red,Red,1pc
2001131-TAG,36.0,8.6,22.8,36.0,35.2,29.2,32.0,45.0,,green,WWT00025,green,Lime,1pc
2001013-TAG,36.0,8.6,22.8,36.0,35.2,29.2,32.0,45.0,,Beige,WWT01078,beige,Teak,1pc
2001011-TAG,36.0,8.6,22.8,36.0,35.2,29.2,32.0,45.0,,White,WWT00031,White,White,1pc
2001029-TAG,36.0,8.6,22.8,36.0,35.2,29.2,32.0,45.0,,green,WWT00023,green,Dark Green,1pc
2001311-TAG,36.0,8.6,22.8,36.0,35.2,29.2,32.0,45.0,,Brown,WWT00022,Brown,Dark Brown,1pc
2001006-TAG,36.0,8.6,22.8,36.0,35.2,29.2,32.0,45.0,,Orange,WWT00027,Orange,Orange,1pc
2001112-TAG,36.0,8.6,22.8,36.0,35.2,29.2,32.0,45.0,,Blue,WWT00026,Blue,Navy Blue,1pc
2001071-TAG,36.0,8.6,22.8,36.0,35.2,29.2,32.0,45.0,,green,WWT00030,green,Turquoise,1pc
OP6002-PB-TAG,39.2,21.0,35.0,6.5,35.6,30.0,32.0,44.0,,Blue,WWT01098,Blue,Pacific Blue,1pc
OP6002-TQ-TAG,39.2,21.0,35.0,6.5,35.6,30.0,32.0,44.0,,green,WWT01102,green,Turquoise,1pc
OP6002-BK-TAG,39.2,21.0,35.0,6.5,35.6,30.0,32.0,44.0,,Black,WWT01089,Black,Black,1pc
OP6002-DB-TAG,39.2,21.0,35.0,6.5,35.6,30.0,32.0,44.0,,Brown,WWT01091,Brown,Dark Brown,1pc
OP6002-NB-TAG,39.2,21.0,35.0,6.5,35.6,30.0,32.0,44.0,,Blue,WWT01096,Blue,Navy Blue,1pc
OP6002-RD-TAG,39.2,21.0,35.0,6.5,35.6,30.0,32.0,44.0,,Red,WWT01099,Red,Red,1pc
OP6002-OR-TAG,39.2,21.0,35.0,6.5,35.6,30.0,32.0,44.0,,Orange,WWT01097,Orange,Orange,1pc
OP6002-GY-TAG,39.2,21.0,35.0,6.5,35.6,30.0,32.0,44.0,,Gray,WWT01093,Gray,Gray,1pc
OP6002-SD-TAG,39.2,21.0,35.0,6.5,35.6,30.0,32.0,44.0,,Beige,WWT01100,Beige,Sand,1pc
OP6002-WH-TAG,39.2,21.0,35.0,6.5,35.6,30.0,32.0,44.0,,White,WWT01103,White,White,1pc
OP6002-WW-TAG,39.2,21.0,35.0,6.5,35.6,30.0,32.0,44.0,,Beige,WWT01104,Beige,Weathered Wood,1pc
OP6002-LM-TAG,39.2,21.0,35.0,6.5,35.6,30.0,32.0,44.0,,green,WWT01094,green,Lime,1pc
OP6002-TK-TAG,39.2,21.0,35.0,6.5,35.6,30.0,32.0,44.0,,Beige,WWT01101,beige,Teak,1pc
OP6002-DG-TAG,39.2,21.0,35.0,6.5,35.6,30.0,32.0,44.0,,green,WWT01092,green,Dark Green,1pc
OP6001-DKBR-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,Brown,WWT00950,Brown,Dark Brown,
OP6001-BK-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,Black,WWT00949,Black,Black,
OP6001-PB-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,Blue,WWT00956,Blue,Pacific Blue,
OP6001-WW-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,Beige,WWT00960,Beige,Weathered Wood,
OP6001-GY-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,Gray,WWT00952,Gray,Gray,
OP6001-OR-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,Orange,WWT00955,Orange,Orange,
OP6001-WH-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,White,WWT00959,White,White,
OP6001-TQ-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,green,WWT00958,green,Turquoise,
OP6001-RD-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,Red,WWT00957,Red,Red,
OP6001-LM-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,green,WWT00953,green,Lime,
OP6001-NB-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,Blue,WWT00954,Blue,Navy Blue,
OP6001-DKGR-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,green,WWT00951,green,Dark Green,
OP6010-WH-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45.0,,White,WWT02833,White,White,
OP6010-TP-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45.0,,Beige,WWT02831,Beige,Taupe,
OP6010-CG-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45.0,,Gray,WWT02828,Gray,Charcoal Gray,
OP6010-BK-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45.0,,Black,WWT02827,Black,Black,
OP6010-TK-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45.0,,Beige,WWT02830,beige,Teak,
OP6010-WG-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45.0,,Gray,WWT02832,Gray,Weathered Gray,
OP6010-NB-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45.0,,blue,WWT02829,blue,Navy,
OP6001-WW-4-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,Beige,WWT00984,Beige,Weathered Wood,
OP6001-NB-4-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,Blue,WWT00978,Blue,Navy Blue,
OP6001-GY-4-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,Gray,WWT00976,Gray,Gray,
OP6001-TQ-4-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,green,WWT00982,green,Turquoise,
OP6001-DKBR-4-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,Brown,WWT00974,Brown,Dark Brown,
OP6001-LM-4-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,green,WWT00977,green,Lime,
OP6001-BK-4-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,Black,WWT00973,Black,Black,
OP6001-PB-4-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,Blue,WWT00980,Blue,Pacific Blue,
OP6001-DKGR-4-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,green,WWT00975,green,Dark Green,
OP6001-RD-4-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,Red,WWT00981,Red,Red,
OP6001-WH-4-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,White,WWT00983,White,White,
OP6001-OR-4-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,Orange,WWT00979,Orange,Orange,
OP6012-BK-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45.0,,Black,WWT02869,Black,Black,
OP6012-TP-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45.0,,Beige,WWT02873,Beige,Taupe,
OP6012-WG-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45.0,,Gray,WWT02874,Gray,Weathered Gray,
OP6012-TK-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45.0,,Beige,WWT02872,beige,Teak,
OP6012-NB-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45.0,,blue,WWT02871,blue,Navy,
OP6012-CG-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45.0,,Gray,WWT02870,Gray,Charcoal Gray,
OP6012-WH-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45.0,,White,WWT02875,White,White,
OP6019-CG-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45.0,,Gray,WWT02933,Gray,Charcoal Gray,
OP6019-WG-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45.0,,Gray,WWT02937,Gray,Weathered Gray,
OP6019-WH-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45.0,,White,WWT02938,White,White,
OP6019-NB-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45.0,,blue,WWT02934,blue,Navy,
OP6019-TP-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45.0,,Beige,WWT02936,Beige,Taupe,
OP6019-BK-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45.0,,Black,WWT02932,Black,Black,
OP6019-TK-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45.0,,Beige,WWT02935,beige,Teak,
OP6001-NB-8-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,Blue,WWT02742,Blue,Navy Blue,
OP6001-TQ-8-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,green,WWT02746,green,Turquoise,
OP6001-GY-8-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,Gray,WWT02740,Gray,Gray,
OP6001-DKGR-8-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,green,WWT02739,green,Dark Green,
OP6001-PB-8-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,Blue,WWT02744,Blue,Pacific Blue,
OP6001-WH-8-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,White,WWT02747,White,White,
OP6001-DKBR-8-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,Brown,WWT02738,Brown,Dark Brown,
OP6001-OR-8-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,Orange,WWT02743,Orange,Orange,
OP6001-RD-8-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,Red,WWT02745,Red,Red,
OP6001-LM-8-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,green,WWT02741,green,Lime,
OP6001-BK-8-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,Black,WWT02737,Black,Black,
OP6001-WW-8-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,Beige,WWT02748,Beige,Weathered Wood,
2001AOC-NB2-TAG,36.0,8.6,22.8,36.0,35.2,29.2,32.0,45.0,,Blue,WWT00760,Blue,Navy Blue,
2001AOC-WH2-TAG,36.0,8.6,22.8,36.0,35.2,29.2,32.0,45.0,,White,WWT00754,White,White,
2001AOC-DKBR2-TAG,36.0,8.6,22.8,36.0,35.2,29.2,32.0,45.0,,Brown,WWT00765,Brown,Dark Brown,
2001AOC-WW2-TAG,36.0,8.6,22.8,36.0,35.2,29.2,32.0,45.0,,Beige,WWT00761,Beige,Weathered Wood,
2001AOC-DKGR2-TAG,36.0,8.6,22.8,36.0,35.2,29.2,32.0,45.0,,green,WWT00757,green,Dark Green,
2001AOC-BK2-TAG,36.0,8.6,22.8,36.0,35.2,29.2,32.0,45.0,,Black,WWT00756,Black,Black,
2001AOC-RD2-TAG,36.0,8.6,22.8,36.0,35.2,29.2,32.0,45.0,,Red,WWT00758,Red,Red,
2001AOC-LM2-TAG,36.0,8.6,22.8,36.0,35.2,29.2,32.0,45.0,,green,WWT00763,green,Lime,
2001AOC-SD2-TAG,36.0,8.6,22.8,36.0,35.2,29.2,32.0,45.0,,Beige,WWT02803,Beige,Sand,
2001AOC-GY2-TAG,36.0,8.6,22.8,36.0,35.2,29.2,32.0,45.0,,Gray,WWT00764,Gray,Gray,
2001AOC-OR2-TAG,36.0,8.6,22.8,36.0,35.2,29.2,32.0,45.0,,Orange,WWT00755,Orange,Orange,
2001AOC-PB2-TAG,36.0,8.6,22.8,36.0,35.2,29.2,32.0,45.0,,Blue,WWT00762,Blue,Pacific Blue,
2001AOC-TK2-TAG,36.0,8.6,22.8,36.0,35.2,29.2,32.0,45.0,,blue,WWT02804,beige,Teak,
